car_numbers1,car_numbers2,car_numbers3,car_numbers4,duration1,duration3,total_waiting_time
450,400,50,20,10,40,51210.0
450,400,50,20,10,45,58317.0
450,400,50,20,10,50,64801.0
450,400,50,20,10,55,72054.0
450,400,50,20,15,10,3197.0
450,400,50,20,15,15,4914.0
450,400,50,20,15,20,8040.0
450,400,50,20,15,25,12543.0
450,400,50,20,15,30,16885.0
450,400,50,20,15,35,21340.0
450,400,50,20,15,40,25699.0
450,400,50,20,15,45,30408.0
450,400,50,20,15,50,34661.0
450,400,50,20,15,55,39173.0
450,400,50,20,20,10,3124.0
450,400,50,20,20,15,4302.0
450,400,50,20,20,20,6759.0
450,400,50,20,20,25,10211.0
450,400,50,20,20,30,14029.0
450,400,50,20,20,35,17769.0
450,400,50,20,20,40,21810.0
450,400,50,20,20,45,25963.0
450,400,50,20,20,50,29321.0
450,400,50,20,20,55,33739.0
450,400,50,20,25,10,3097.0
450,400,50,20,25,15,4019.0
450,400,50,20,25,20,5878.0
450,400,50,20,25,25,9083.0
450,400,50,20,25,30,12255.0
450,400,50,20,25,35,15622.0
450,400,50,20,25,40,19090.0
450,400,50,20,25,45,22591.0
450,400,50,20,25,50,26179.0
450,400,50,20,25,55,29923.0
450,400,50,20,30,10,3057.0
450,400,50,20,30,15,4077.0
450,400,50,20,30,20,5645.0
450,400,50,20,30,25,8207.0
450,400,50,20,30,30,11458.0
450,400,50,20,30,35,14847.0
450,400,50,20,30,40,18114.0
450,400,50,20,30,45,20979.0
450,400,50,20,30,50,24502.0
450,400,50,20,30,55,27282.0
450,400,50,20,35,10,3133.0
450,400,50,20,35,15,4005.0
450,400,50,20,35,20,5711.0
450,400,50,20,35,25,8180.0
450,400,50,20,35,30,11116.0
450,400,50,20,35,35,13946.0
